path	codec	height	container_fps	decode_fps_1	decode_fps_2	interlaced	progressive	verdict
/Volumes/nas/media/archive/A Fistful of Dollars.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	609	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/A Night at the Roxbury (1998).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/A Christmas Story.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/A View to a Kill.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Accepted (2006).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Addams Family Values (1993).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Air Force One.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/After the Sunset.m4v	h264	478	48000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Airheads.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Aladdin (1992).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	700	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Alien (1979).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	678	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Alien vs Predator.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Alien3 (1992).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	716	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Aliens.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/American Outlaws (2001).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/American Sniper.mp4	h264	480	30000/1001	30.00	30.00	0	900	TRUE_2997_VIDEO
/Volumes/nas/media/archive/Apollo 13.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	709	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s01e01 - El Jefe.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s01e02 - Bait.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s01e03 - Books from Beyond.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s01e04 - Brujo.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s01e05 - The Host.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s01e06 - The Killer of Killers.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
